City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,noyabrsk,63.2,75.45,59.13,79,1,12.03,RU,1597893370
1,butaritari,3.07,172.79,83.52,76,97,10.58,KI,1597893371
2,hobart,-42.88,147.33,55.4,55,20,19.46,AU,1597893199
3,narsaq,60.92,-46.05,50.0,66,15,4.7,GL,1597893371
4,kapaa,22.08,-159.32,84.2,66,40,13.87,US,1597893371
5,eskisehir,39.78,30.52,62.6,82,0,6.93,TR,1597893372
6,bluff,-46.6,168.33,57.99,76,100,3.0,NZ,1597893372
7,matay,28.42,30.78,70.5,72,0,7.54,EG,1597893373
8,nakusp,50.25,-117.8,63.0,79,94,1.01,CA,1597893373
9,palmer,42.16,-72.33,62.01,100,40,2.44,US,1597893373
10,lata,40.16,-8.33,71.01,91,87,1.99,PT,1597893373
11,ancud,-41.87,-73.82,44.01,86,15,5.82,CL,1597893374
12,petropavlovsk-kamchatskiy,53.05,158.65,51.8,100,90,4.47,RU,1597893374
13,hermanus,-34.42,19.23,46.99,93,88,10.67,ZA,1597893374
14,saskylakh,71.92,114.08,47.37,56,99,3.87,RU,1597893375
15,east london,-33.02,27.91,48.2,57,0,10.29,ZA,1597893375
16,axim,4.87,-2.24,74.89,88,78,10.54,GH,1597893300
17,chumikan,54.72,135.31,65.05,52,41,19.6,RU,1597893375
18,punta arenas,-53.15,-70.92,44.6,81,60,27.51,CL,1597893376
19,iqaluit,63.75,-68.51,44.6,93,90,8.05,CA,1597893376
20,carnarvon,-24.87,113.63,66.2,45,83,8.05,AU,1597893376
21,college,64.86,-147.8,75.2,46,75,3.36,US,1597893377
22,honiara,-9.43,159.95,89.6,70,75,10.29,SB,1597893332
23,grand gaube,-20.01,57.66,66.0,70,12,3.0,MU,1597893377
24,mataura,-46.19,168.86,57.99,76,97,3.0,NZ,1597893377
25,montepulciano,43.1,11.79,64.99,82,0,1.28,IT,1597893377
26,nyaunglebin,17.95,96.73,81.09,79,100,3.29,MM,1597893377
27,cururupu,-1.83,-44.87,74.68,93,29,3.71,BR,1597893378
28,gushikawa,26.35,127.87,91.4,59,20,9.17,JP,1597893378
29,khor,47.89,134.95,66.7,66,0,12.08,RU,1597893378
30,sao joao da barra,-21.64,-41.05,72.25,87,0,8.7,BR,1597893379
31,rikitea,-23.12,-134.97,69.82,84,100,22.79,PF,1597893379
32,les cayes,18.2,-73.75,80.55,80,100,4.79,HT,1597893379
33,lasa,46.62,10.7,59.0,87,40,3.36,IT,1597893379
34,busselton,-33.65,115.33,55.99,88,60,8.14,AU,1597893380
35,abha,18.22,42.51,71.6,56,42,4.5,SA,1597893380
36,ushuaia,-54.8,-68.3,37.4,93,75,28.86,AR,1597893381
37,takefu,35.9,136.17,89.6,70,20,8.05,JP,1597893381
38,franklin,39.97,-83.02,66.99,77,1,6.93,US,1597893382
39,bhuj,23.27,69.67,83.21,81,59,12.08,IN,1597893382
40,shingu,33.73,135.98,87.8,66,75,10.29,JP,1597893383
41,saint-francois,46.42,3.91,63.0,87,0,2.24,FR,1597893383
42,hilo,19.73,-155.09,78.8,78,90,6.93,US,1597893383
43,jamestown,42.1,-79.24,59.0,67,1,1.23,US,1597893331
44,khorixas,-20.37,14.97,52.97,30,0,15.68,NA,1597893383
45,perieti,44.4,24.55,66.0,82,100,9.17,RO,1597893383
46,codrington,-38.27,141.97,55.62,68,23,20.54,AU,1597893384
47,haskovo,41.94,25.57,71.6,60,77,14.99,BG,1597893384
48,cidreira,-30.18,-50.21,50.94,74,30,11.52,BR,1597893384
49,albany,42.6,-73.97,64.0,64,4,6.49,US,1597893384
50,shubarshi,48.59,57.19,62.87,49,33,4.88,KZ,1597893385
51,nikolskoye,59.7,30.79,52.0,87,0,6.71,RU,1597893385
52,portland,45.52,-122.68,81.0,61,87,5.95,US,1597893285
53,atuona,-9.8,-139.03,78.37,77,4,15.48,PF,1597893385
54,marzuq,14.4,46.47,77.11,56,28,6.78,YE,1597893385
55,tuatapere,-46.13,167.68,57.99,76,98,3.0,NZ,1597893386
56,inta,66.03,60.17,54.5,83,0,8.63,RU,1597893386
57,ler,8.3,30.14,72.54,94,100,2.35,SS,1597893386
58,kruisfontein,-34.0,24.73,46.26,59,2,8.03,ZA,1597893387
59,soyo,-6.13,12.37,72.16,88,100,7.7,AO,1597893387
60,wagar,16.15,36.2,84.96,59,79,14.2,SD,1597893387
61,yen bai,21.7,104.87,87.22,62,90,1.79,VN,1597893388
62,mayumba,-3.43,10.66,72.23,89,94,8.57,GA,1597893388
63,coos bay,43.37,-124.22,64.99,82,90,3.85,US,1597893388
64,lagoa,39.05,-27.98,69.26,69,85,19.46,PT,1597893389
65,delta del tigre,-34.76,-56.39,45.0,48,75,12.75,UY,1597893389
66,ladario,-19.0,-57.6,69.53,80,55,6.51,BR,1597893389
67,huambo,-12.78,15.74,48.0,49,0,1.45,AO,1597893389
68,altamont,42.21,-121.74,82.4,25,1,18.34,US,1597893389
69,bathsheba,13.22,-59.52,82.4,83,20,13.87,BB,1597893390
70,souillac,-20.52,57.52,68.0,82,75,4.7,MU,1597893390
71,chaman,30.92,66.45,79.72,14,5,2.51,PK,1597893390
72,tasiilaq,65.61,-37.64,44.6,70,0,8.05,GL,1597893390
73,kota belud,6.35,116.43,87.8,70,20,5.82,MY,1597893391
74,dicabisagan,17.08,122.42,82.02,81,98,9.15,PH,1597893391
75,nagato,34.38,131.2,88.0,79,40,8.05,JP,1597893391
76,kavieng,-2.57,150.8,84.22,71,72,8.79,PG,1597893391
77,salinopolis,-0.61,-47.36,79.75,81,29,13.35,BR,1597893391
78,llanes,43.42,-4.75,70.0,95,99,1.01,ES,1597893391
79,ponta do sol,32.67,-17.1,71.6,78,40,3.31,PT,1597893392
80,qaanaaq,77.48,-69.36,44.67,90,100,4.56,GL,1597893392
81,broome,42.25,-75.83,57.2,67,1,6.93,US,1597893392
82,severo-kurilsk,50.68,156.12,54.39,89,100,7.58,RU,1597893392
83,barrow,71.29,-156.79,39.2,93,90,12.75,US,1597893392
84,cuiluan,47.72,128.65,70.86,35,0,4.29,CN,1597893393
85,lewiston,44.1,-70.21,59.0,87,75,4.25,US,1597893332
86,kodiak,57.79,-152.41,60.8,67,40,9.17,US,1597893337
87,castro,-24.79,-50.01,51.69,97,100,5.06,BR,1597893393
88,kholm,59.27,32.85,49.42,84,0,3.67,RU,1597893393
89,new norfolk,-42.78,147.06,55.99,71,23,5.01,AU,1597893394
90,ahipara,-35.17,173.17,62.83,73,0,17.11,NZ,1597893394
91,bredasdorp,-34.53,20.04,50.0,81,79,6.93,ZA,1597893394
92,payyannur,12.1,75.2,77.0,100,40,1.92,IN,1597893394
93,kismayo,-0.36,42.55,76.48,86,31,12.55,SO,1597893394
94,beeville,28.4,-97.75,82.4,83,1,5.82,US,1597893395
95,yulara,-25.24,130.99,66.2,29,0,8.05,AU,1597893395
96,saint-philippe,-21.36,55.77,69.01,64,90,4.7,RE,1597893395
97,nombre de dios,23.85,-104.23,64.72,79,100,4.34,MX,1597893395
98,naryan-mar,67.67,53.09,52.99,90,100,11.14,RU,1597893395
99,maraba,-5.37,-49.12,78.8,83,29,3.36,BR,1597893396
100,gualeguay,-33.14,-59.31,38.98,74,0,7.29,AR,1597893396
101,yellowknife,62.46,-114.35,59.0,93,90,6.93,CA,1597893355
102,bah,26.87,78.6,84.0,87,100,9.73,IN,1597893396
103,bonthe,7.53,-12.51,75.33,92,100,12.21,SL,1597893396
104,yamada,39.47,141.95,88.2,49,0,2.73,JP,1597893397
105,mikhaylovka,50.06,43.24,61.0,62,89,1.99,RU,1597893397
106,avarua,-21.21,-159.78,75.2,78,98,24.16,CK,1597893397
107,lujan,-34.57,-59.1,41.0,92,0,6.73,AR,1597893397
108,caohai,26.87,104.28,66.34,76,39,4.16,CN,1597893397
109,ixtapa,20.7,-105.2,82.4,83,90,2.35,MX,1597893397
110,katsuura,35.13,140.3,93.99,66,20,16.11,JP,1597893398
111,voi,-3.39,38.56,65.7,84,76,5.86,KE,1597893398
112,alta floresta,-9.88,-56.09,76.17,30,0,1.63,BR,1597893398
113,upernavik,72.79,-56.15,48.6,70,29,2.62,GL,1597893398
114,mar del plata,-38.0,-57.56,39.0,86,20,4.7,AR,1597893398
115,polson,47.69,-114.16,75.0,57,50,1.21,US,1597893398
116,hualmay,-11.1,-77.61,59.7,84,48,9.4,PE,1597893399
117,natchez,31.56,-91.4,78.8,65,1,6.93,US,1597893399
118,rocha,-34.48,-54.33,39.92,74,0,9.66,UY,1597893399
119,san miguel,13.48,-88.18,75.38,91,100,1.16,SV,1597893399
120,yakovlevka,44.42,133.48,69.67,43,97,7.38,RU,1597893399
121,kolaras,25.23,77.6,80.06,87,100,5.12,IN,1597893399
122,port alfred,-33.59,26.89,50.67,64,1,10.16,ZA,1597893399
123,laguna,38.42,-121.42,91.0,22,90,6.93,US,1597893400
124,plateros,23.22,-102.85,60.8,82,90,6.93,MX,1597893400
125,salalah,17.02,54.09,77.0,100,90,4.7,OM,1597893400
126,khilok,51.37,110.47,74.43,46,34,3.51,RU,1597893400
127,mandalgovi,45.76,106.27,66.54,34,40,18.57,MN,1597893401
128,provideniya,64.38,-173.3,59.0,72,20,13.42,RU,1597893401
129,grootfontein,-19.57,18.12,35.56,58,0,8.43,NA,1597893401
130,cape town,-33.93,18.42,55.0,81,75,5.82,ZA,1597893296
131,taltal,-25.4,-70.48,51.73,73,0,3.02,CL,1597893401
132,feltre,46.02,11.91,71.01,68,61,4.12,IT,1597893402
133,sobolevo,54.43,31.9,57.22,96,99,9.15,RU,1597893402
134,beian,63.66,9.57,55.99,100,75,3.36,NO,1597893402
135,vaini,-21.2,-175.2,75.2,88,90,10.29,TO,1597893402
136,dong hoi,17.48,106.6,86.05,68,100,3.11,VN,1597893402
137,sassandra,4.95,-6.08,73.47,93,87,5.21,CI,1597893403
138,pevek,69.7,170.31,42.89,82,100,10.51,RU,1597893403
139,hithadhoo,-0.6,73.08,83.53,66,74,2.57,MV,1597893403
140,andilamena,-17.02,48.58,57.38,91,78,5.7,MG,1597893403
141,saint-augustin,51.23,-58.65,56.61,96,49,5.1,CA,1597893403
142,karasburg,-28.02,18.75,42.31,47,0,8.88,NA,1597893403
143,general pico,-35.66,-63.76,34.2,85,0,4.83,AR,1597893184
144,inhambane,-23.86,35.38,65.7,73,67,9.42,MZ,1597893404
145,vao,-22.67,167.48,71.6,79,0,20.98,NC,1597893404
146,boysun,38.21,67.2,72.09,30,0,3.04,UZ,1597893404
147,wuan,31.68,112.0,72.77,95,100,6.73,CN,1597893405
148,erenhot,43.65,111.98,67.78,43,2,10.16,CN,1597893405
149,mairang,25.57,91.63,84.2,100,75,8.05,IN,1597893405
150,thompson,55.74,-97.86,66.2,68,90,3.36,CA,1597893123
151,port elizabeth,-33.92,25.57,46.4,81,6,6.93,ZA,1597893405
152,svetlogorsk,52.63,29.73,59.38,94,98,8.99,BY,1597893405
153,havre-saint-pierre,50.23,-63.6,60.8,82,90,8.05,CA,1597893406
154,vila franca do campo,37.72,-25.43,66.2,72,20,5.82,PT,1597893406
